Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,15000,15000,15000,15000,15000,15000
1,9649.6594,9578.006352,6132.47173,12931.27204,10421.29422,8124.501805
2,25830.87123,30932.5612,16801.50958,22333.60362,17764.11523,13431.31394
3,71041.96212,76162.11291,45447.91794,38006.00759,33921.95664,22822.62459
4,170967.3682,187188.2482,157908.5048,75669.07181,59258.07349,61768.01527
5,438709.5638,399627.0856,390847.7275,139728.6229,117183.0924,105250.6636
6,279172.6124,321143.0804,259213.0148,120495.7986,99330.48236,94128.44863
7,532923.447,546012.6959,508701.0668,169398.9167,166428.6432,149145.5529
8,595149.1987,685118.3775,549169.6715,247891.3464,222211.5652,204175.3632
9,574794.5184,653876.5018,660237.5958,260042.782,220794.9451,254344.7314
10,721368.8743,773426.2207,666856.2026,203035.0922,163238.8223,179741.7668
11,822989.93,892327.8289,854440.6461,316057.2966,227953.9518,271782.8777
12,715456.2983,816144.9953,765029.186,163778.4542,138592.1968,144803.8664
13,879514.6231,946472.3617,770488.0287,241191.4699,165017.9406,205055.0248
14,832420.493,1004692.6,663501.7553,139783.0216,114431.6154,126344.9701
